country,pctmus,gdppc,pop,usimp,usimppc,m2j,usaid,milexp,fh.pr
Bangladesh,0.896,393.7,157752512,455986,2.89,3388,91.4,1.2,4
Egypt,0.946,1162.4,80060540,5259281,65.69,263,671.2,2.5,6
Ethiopia,0.339,164.8,78646128,167478,2.13,1590,460.4,1.9,5
Ghana,0.159,489.2,22870966,416385,18.21,2920,429.2,0.84,1
India,0.134,740.1,1124786997,14968846,13.31,2505,159.7,2.47,2
Indonesia,0.882,1296.1,225630065,3969657,17.59,5389,227.6,1.22,2
Ivory Coast,0.367,850.3,20122796,161604,8.03,3127,86.8,1.59,7
Jordan,0.982,2330.5,5718855,856173,149.71,45,330.9,6.24,5
Kenya,0.07,527.2,37530726,520375,13.87,2288,515.4,1.84,3
Kuwait,0.95,31867.3,2662966,2484016,932.8,780,1.3,3.9,4
Lebanon,0.593,5375.1,4097076,825888,201.58,148,200,5.13,5
Malaysia,0.604,5377.7,26549518,11680202,439.94,4733,5.3,2.13,4
Mali,0.925,456.9,12334168,31901,2.59,3040,381,2.3,2
Morocco,0.99,1974.7,30860595,1294157,41.94,2430,59.8,3.21,5
Nigeria,0.504,794.1,147982941,2777942,18.77,2373,338,0,4
Pakistan,0.963,703,162481399,1943577,11.96,2193,663,3.54,6
Palestine,0.98,1160.2,3708069,17644,4.76,9,165.1,0,5
Senegal,0.96,770.1,11893335,150415,12.65,3512,68.8,1.71,2
Tanzania,0.302,362.5,41276209,173962,4.21,2625,232.8,0.96,4
Turkey,0.98,6800.6,73003736,6498756,89.02,581,12.4,2.11,3
Uganda,0.121,321.4,30637544,80349,2.62,2183,365.4,2.26,5
